relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
disease_disease,parent-child,35453,5453,disease,congenital heart disease,MONDO,27908,14000_60663_32913_13988_14344_119,disease,"congenital heart defects, multiple types",MONDO_grouped
disease_disease,parent-child,35474,20285,disease,transposition of the great arteries and conotruncal cardiac anomaly,MONDO,38925,153,disease,transposition of the great arteries,MONDO
disease_disease,parent-child,35506,7263,disease,cardiac rhythm disease,MONDO,39880,190,disease,ventricular fibrillation (disease),MONDO
disease_disease,parent-child,35660,992,disease,heart conduction disease,MONDO,28737,12313_12314_12312_453,disease,short QT syndrome,MONDO_grouped
disease_disease,parent-child,29617,8848,disease,atrioventricular dissociation (disease),MONDO,33586,465,disease,atrioventricular block (disease),MONDO
disease_disease,parent-child,35660,992,disease,heart conduction disease,MONDO,33586,465,disease,atrioventricular block (disease),MONDO
disease_disease,parent-child,35667,15110,disease,genetic cardiac rhythm disease,MONDO,83896,467_468_1261_466_20744,disease,atrioventricular block,MONDO_grouped
disease_disease,parent-child,33586,465,disease,atrioventricular block (disease),MONDO,83896,467_468_1261_466_20744,disease,atrioventricular block,MONDO_grouped
disease_disease,parent-child,35668,5449,disease,conduction system disorder,MONDO,36401,469,disease,sinoatrial node disease,MONDO
disease_disease,parent-child,35660,992,disease,heart conduction disease,MONDO,36401,469,disease,sinoatrial node disease,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,37662,470,disease,endocardium disease,MONDO
disease_disease,parent-child,35670,2869,disease,heart valve disease,MONDO,36883,471,disease,tricuspid valve disease,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,36179,474,disease,pericardium disease,MONDO
disease_disease,parent-child,35506,7263,disease,cardiac rhythm disease,MONDO,84058,745,disease,cardiac arrest,MONDO
disease_disease,parent-child,35850,1389,disease,congenital coronary artery anomaly,MONDO,95299,811,disease,anomalous left coronary artery from the pulmonary artery,MONDO
disease_disease,parent-child,35669,5267,disease,heart disease,MONDO,95300,813,disease,cardiac tuberculosis,MONDO
disease_disease,parent-child,35638,21166,disease,inflammatory disease,MONDO,95300,813,disease,cardiac tuberculosis,MONDO
disease_disease,parent-child,32505,18076,disease,tuberculosis,MONDO,95300,813,disease,cardiac tuberculosis,MONDO
