x_icd_id,y_icd_id
011.9,"{'429.2', '414.9', '398.91', '423.9'}"
135.0,"{'429.2', '759.89', '425.9'}"
150.1,{'429.2'}
186.9,{'426.0'}
192.2,"{'330.8', '225.2', '746.87', '416.9', '426.0'}"
202.80,{'429.2'}
214.9,{'429.2'}
215.9,"{'429.2', '423.1', '426.0'}"
225.2,"{'414.9', '780.2', '416.9', '426.82', '745.5', '426.0', '192.2', '745.0'}"
230.2,{'426.0'}
239.6,{'426.0'}
244.8,{'426.0'}
271.0,{'425.9'}
272.7,{'429.2'}
277.88,"{'330.8', '425.1', '745.1', '425.9', '745.5', '746', '423.1', '751.3', '745.0', '426.8', '398.91', '414.9', '330.0', '746.89', '755.55', '410.9', '746.87', '416.0', '416.9', '426.82', '995.94', '747.49', '427.89', '426.0', '319', '423.9', '759.89'}"
277.89,"{'398.91', '410.9', '425.9', '426.82', '426.0', '428.0'}"
279.11,{'429.2'}
282.9,"{'745.5', '410.9'}"
319,"{'277.88', '759.89'}"
330.0,{'277.88'}
330.8,"{'398.91', '277.88', '426.82', '426.0', '192.2'}"
348.89,{'426.0'}
349.89,{'745.0'}
359,{'359.1'}
359.0,"{'429.2', '378.9', '745.0', '414.9'}"
359.1,{'359'}
359.21,{'426.82'}
378.9,{'359.0'}
398.91,"{'277.89', '414.9', '330.8', '425.1', '410.9', '277.88', '746.87', '011.9', '759.89', '745.5', '416.9', '426.0', '756.0', '423.9', '429.2', '423.1', '745.0', '428.0'}"
410.9,"{'277.89', '398.91', '277.88', '426.8', '425.9', '416.9', '426.0', '423.9', '429.2', '745.0', '759.89', '282.9'}"
414.9,"{'398.91', '277.88', '225.2', '746.87', '011.9', '426.82', '429.2', '745.0', '426.8', '424.0', '359.0'}"
416.0,{'277.88'}
416.9,"{'398.91', '277.88', '745.11', '225.2', '410.9', '745.1', '428.0', '759.89', '426.82', '426.0', '423.9', '192.2', '429.2', '745.0', '426.8'}"
423.1,"{'398.91', '277.88', '426.7', '215.9', '426.82', '426.0', '423.9', '429.2', '553.3'}"
423.9,"{'398.91', '277.88', '410.9', '746.87', '011.9', '756.70', '745.0', '425.9', '426.7', '745.5', '416.9', '426.0', '429.2', '423.1', '553.3'}"
424.0,"{'414.9', '746.87', '425.9', '426.7', '745.5', '426.82', '426.0', '429.2', '745.0'}"
425.1,"{'398.91', '277.88', '425.9', '426.82', '426.0', '429.2'}"
425.9,"{'277.89', '277.88', '425.1', '410.9', '745.1', '271.0', '426.7', '426.82', '426.0', '423.9', '429.2', '745.0', '426.8', '135.0', '424.0'}"
426.0,"{'277.88', '330.8', '425.1', '425.9', '745.5', '423.1', '745.0', '426.8', '756.0', '398.91', '192.2', '780.2', '410.9', '746.87', '426.7', '416.9', '426.82', '215.9', '239.6', '742.4', '429.2', '186.9', '428.0', '277.89', '225.2', '743.0', '759.7', '427.89', '230.2', '742.1', '244.8', '423.9', '759.89', '424.0', '348.89'}"
426.7,"{'427.81', '746.87', '425.9', '745.5', '426.82', '426.0', '423.9', '426.8', '423.1', '745.0', '759.89', '424.0'}"
426.8,"{'414.9', '277.88', '410.9', '746.87', '425.9', '426.7', '745.5', '416.9', '426.82', '426.0', '429.2', '745.0', '426.9'}"
426.81,{'426.82'}
426.82,"{'277.88', '330.8', '425.1', '745.1', '425.9', '745.5', '359.21', '423.1', '745.0', '426.8', '756.83', '414.9', '745.11', '746.89', '426.81', '746.87', '759.3', '426.7', '416.9', '429.2', '428.0', '277.89', '758.81', '225.2', '762.2', '748.0', '427.89', '426.0', '779.82', '553.3', '759.89', '424.0'}"
426.9,{'426.8'}
427.81,{'426.7'}
427.89,"{'426.82', '426.0', '277.88'}"
428.0,"{'277.89', '398.91', '758.81', '748.3', '416.9', '426.82', '426.0', '429.2', '759.89'}"
429.2,"{'747.89', '425.1', '011.9', '743.44', '425.9', '745.5', '756.55', '423.1', '745.0', '426.8', '756.83', '398.91', '414.9', 'V84.89', '202.80', '272.7', '746.89', '756.9', '410.9', '758.5', '755.8', '746.87', '279.11', '215.9', '426.82', '757.2', '416.9', '150.1', '428.0', '214.9', '426.0', '423.9', '135.0', '553.3', '759.89', '424.0', '359.0'}"
553.3,"{'426.82', '423.9', '429.2', '423.1', '745.0'}"
703.8,{'745.5'}
